"ID_Réponse";"ID_Employé";"Q01";"Q02";"Q03";"Q04";"Q05";"Q06";"Q07";"Q08";"Q09";"Q10";"Q11";"Q12"
4856;"164";"Ni satisfait, ni insatisfait";"Assez bien";"Ni rapidement, ni lentement";"Assez longue";"Très bien";"La plupart d'entre elles";"Assez poli";"Très compétent";"Très claires";"Peu utile";"Ni supérieure, ni inférieure";
4857;"154";"Assez satisfait";"Très bien";"Très rapidement";"Peu longue";"Extrêmement bien";"La plupart d'entre elles";"Très poli";"Très compétent";"Extrêmement claires";"Extrêmement utile";"Assez supérieure";
4858;"154";"Extrêmement satisfait";"Très bien";"Extrêmement rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Très poli";"Extrêmement compétent";"Très claires";"Extrêmement utile";"Très supérieure";
4859;"252";"Extrêmement satisfait";"Très bien";"Extrêmement rapidement";"Pas du tout longue";"Très bien";"Toutes";"Extrêmement poli";"Très compétent";"Très claires";"Extrêmement utile";"Extrêmement supérieure";
4860;"154";"Assez insatisfait";"Pas très bien";"Assez lentement";"Extrêmement longue";"Assez bien";"Quelques-unes";"Peu poli";"Peu compétent";"Pas du tout claires";"Assez utile";"Assez inférieure";
4861;"252";"Très satisfait";"Très bien";"Très rapidement";"Peu longue";"Très bien";"Toutes";"Très poli";"Extrêmement compétent";"Très claires";"Très utile";"Extrêmement supérieure";
4862;"164";"Assez satisfait";"Extrêmement bien";"Assez rapidement";"Peu longue";"Assez bien";"La plupart d'entre elles";"Très poli";"Très compétent";"Très claires";"Très utile";"Assez supérieure";
4863;"031";"Très satisfait";"Très bien";"Assez rapidement";"Pas du tout longue";"Très bien";"Toutes";"Extrêmement poli";"Très compétent";"Très claires";"Extrêmement utile";"Assez supérieure";
4864;"031";"Très satisfait";"Très bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"La plupart d'entre elles";"Extrêmement poli";"Très compétent";"Extrêmement claires";"Extrêmement utile";"Assez supérieure";
4865;"164";"Assez satisfait";"Assez bien";"Ni rapidement, ni lentement";"Assez longue";"Extrêmement bien";"La plupart d'entre elles";"Très poli";"Très compétent";"Très claires";"Assez utile";"Ni supérieure, ni inférieure";
4866;"154";"Extrêmement satisfait";"Extrêmement bien";"Très rapidement";"Peu longue";"Extrêmement bien";"Toutes";"Extrêmement poli";"Très compétent";"Extrêmement claires";"Très utile";"Extrêmement supérieure";
4867;"031";"Très satisfait";"Très bien";"Très rapidement";"Peu longue";"Extrêmement bien";"La plupart d'entre elles";"Extrêmement poli";"Très compétent";"Extrêmement claires";"Extrêmement utile";"Assez supérieure";
4868;"031";"Assez satisfait";"Très bien";"Très rapidement";"Peu longue";"Assez bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Très claires";"Très utile";"Assez supérieure";
4869;"164";"Très satisfait";"Très bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Très poli";"Extrêmement compétent";"Extrêmement claires";"Très utile";"Extrêmement supérieure";
4870;"164";"Très satisfait";"Très bien";"Très rapidement";"Peu longue";"Extrêmement bien";"Toutes";"Très poli";"Très compétent";"Très claires";"Extrêmement utile";"Extrêmement supérieure";
4871;"031";"Très satisfait";"Extrêmement bien";"Très rapidement";"Pas du tout longue";"Très bien";"Toutes";"Extrêmement poli";"Extrêmement compétent";"Très claires";"Extrêmement utile";"Assez supérieure";
4872;"031";"Très satisfait";"Extrêmement bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Extrêmement poli";"Extrêmement compétent";"Extrêmement claires";"Très utile";"Extrêmement supérieure";
4873;"164";"Assez satisfait";"Extrêmement bien";"Assez rapidement";"Assez longue";"Extrêmement bien";"La plupart d'entre elles";"Assez poli";"Extrêmement compétent";"Très claires";"Extrêmement utile";"Assez supérieure";
4874;"252";"Très satisfait";"Très bien";"Assez rapidement";"Peu longue";"Très bien";"Toutes";"Extrêmement poli";"Très compétent";"Extrêmement claires";"Extrêmement utile";"Extrêmement supérieure";
4875;"031";"Très satisfait";"Très bien";"Très rapidement";"Peu longue";"Extrêmement bien";"Toutes";"Extrêmement poli";"Très compétent";"Très claires";"Très utile";"Assez supérieure";
4876;"154";"Très satisfait";"Extrêmement bien";"Très rapidement";"Peu longue";"Très bien";"La plupart d'entre elles";"Extrêmement poli";"Très compétent";"Très claires";"Extrêmement utile";"Très supérieure";
4877;"031";"Très satisfait";"Très bien";"Assez rapidement";"Pas du tout longue";"Très bien";"La plupart d'entre elles";"Extrêmement poli";"Très compétent";"Très claires";"Très utile";"Très supérieure";
4878;"154";"Assez insatisfait";"Assez bien";"Ni rapidement, ni lentement";"Très longue";"Pas du tout bien";"Aucune";"Pas du tout poli";"Pas du tout compétent";"Assez claires";"Pas du tout utile";"Assez inférieure";
4879;"164";"Extrêmement insatisfait";"Pas du tout bien";"Très lentement";"Extrêmement longue";"Pas du tout bien";"Aucune";"Pas du tout poli";"Pas du tout compétent";"Peu claires";"Pas du tout utile";"Très inférieure";
4880;"031";"Très satisfait";"Très bien";"Assez rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Très poli";"Extrêmement compétent";"Extrêmement claires";"Extrêmement utile";"Extrêmement supérieure";
4881;"031";"Ni satisfait, ni insatisfait";"Très bien";"Assez rapidement";"Assez longue";"Pas très bien";"Quelques-unes";"Assez poli";"Assez compétent";"Assez claires";"Assez utile";"Ni supérieure, ni inférieure";
4882;"154";"Très satisfait";"Très bien";"Extrêmement rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Très poli";"Très compétent";"Extrêmement claires";"Très utile";"Très supérieure";
4883;"252";"Très satisfait";"Extrêmement bien";"Très rapidement";"Pas du tout longue";"Très bien";"La plupart d'entre elles";"Extrêmement poli";"Extrêmement compétent";"Très claires";"Très utile";"Très supérieure";
4884;"164";"Très insatisfait";"Assez bien";"Très lentement";"Extrêmement longue";"Pas du tout bien";"Environ la moitié";"Peu poli";"Peu compétent";"Peu claires";"Pas du tout utile";"Extrêmement inférieure";
4885;"164";"Extrêmement satisfait";"Très bien";"Extrêmement rapidement";"Pas du tout longue";"Très bien";"La plupart d'entre elles";"Très poli";"Très compétent";"Très claires";"Très utile";"Extrêmement supérieure";
4886;"031";"Extrêmement satisfait";"Extrêmement bien";"Très rapidement";"Peu longue";"Très bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Extrêmement claires";"Très utile";"Très supérieure";
4887;"031";"Extrêmement satisfait";"Extrêmement bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Très poli";"Extrêmement compétent";"Très claires";"Très utile";"Très supérieure";
4888;"252";"Ni satisfait, ni insatisfait";"Très bien";"Ni rapidement, ni lentement";"Peu longue";"Très bien";"La plupart d'entre elles";"Assez poli";"Assez compétent";"Assez claires";"Peu utile";"Assez supérieure";
4889;"154";"Très satisfait";"Très bien";"Assez rapidement";"Peu longue";"Très bien";"Toutes";"Extrêmement poli";"Très compétent";"Très claires";"Très utile";"Extrêmement supérieure";
4890;"164";"Très insatisfait";"Assez bien";"Extrêmement lentement";"Très longue";"Assez bien";"Quelques-unes";"Peu poli";"Peu compétent";"Peu claires";"Assez utile";"Assez inférieure";
4891;"252";"Assez satisfait";"Assez bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"La plupart d'entre elles";"Très poli";"Très compétent";"Très claires";"Très utile";"Assez supérieure";
4892;"031";"Très satisfait";"Extrêmement bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Très poli";"Extrêmement compétent";"Très claires";"Très utile";"Extrêmement supérieure";
4893;"031";"Ni satisfait, ni insatisfait";"Pas très bien";"Assez rapidement";"Assez longue";"Assez bien";"Environ la moitié";"Assez poli";"Peu compétent";"Très claires";"Très utile";"Assez inférieure";
4894;"252";"Très satisfait";"Extrêmement bien";"Extrêmement rapidement";"Pas du tout longue";"Très bien";"Toutes";"Très poli";"Très compétent";"Extrêmement claires";"Très utile";"Extrêmement supérieure";
4895;"154";"Assez satisfait";"Très bien";"Très rapidement";"Peu longue";"Extrêmement bien";"La plupart d'entre elles";"Assez poli";"Assez compétent";"Assez claires";"Très utile";"Très supérieure";
4896;"164";"Extrêmement satisfait";"Extrêmement bien";"Extrêmement rapidement";"Pas du tout longue";"Très bien";"Toutes";"Très poli";"Extrêmement compétent";"Extrêmement claires";"Extrêmement utile";"Très supérieure";
4897;"031";"Assez satisfait";"Extrêmement bien";"Assez rapidement";"Pas du tout longue";"Très bien";"Environ la moitié";"Très poli";"Extrêmement compétent";"Très claires";"Assez utile";"Ni supérieure, ni inférieure";
4898;"164";"Assez satisfait";"Très bien";"Ni rapidement, ni lentement";"Pas du tout longue";"Très bien";"La plupart d'entre elles";"Extrêmement poli";"Extrêmement compétent";"Très claires";"Très utile";"Ni supérieure, ni inférieure";
4899;"252";"Assez satisfait";"Très bien";"Assez rapidement";"Peu longue";"Très bien";"Environ la moitié";"Très poli";"Assez compétent";"Très claires";"Extrêmement utile";"Assez supérieure";
4900;"154";"Extrêmement satisfait";"Extrêmement bien";"Extrêmement rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Extrêmement poli";"Très compétent";"Extrêmement claires";"Extrêmement utile";"Extrêmement supérieure";
4901;"164";"Extrêmement satisfait";"Très bien";"Très rapidement";"Peu longue";"Très bien";"Toutes";"Très poli";"Très compétent";"Extrêmement claires";"Très utile";"Extrêmement supérieure";
4902;"154";"Assez satisfait";"Assez bien";"Très rapidement";"Pas du tout longue";"Assez bien";"La plupart d'entre elles";"Extrêmement poli";"Très compétent";"Très claires";"Très utile";"Assez supérieure";
4903;"252";"Extrêmement insatisfait";"Pas très bien";"Très lentement";"Très longue";"Pas très bien";"Quelques-unes";"Peu poli";"Pas du tout compétent";"Peu claires";"Peu utile";"Très inférieure";
4904;"031";"Assez insatisfait";"Pas très bien";"Assez lentement";"Très longue";"Pas très bien";"Aucune";"Assez poli";"Pas du tout compétent";"Peu claires";"Pas du tout utile";"Ni supérieure, ni inférieure";
4905;"252";"Ni satisfait, ni insatisfait";"Très bien";"Assez lentement";"Très longue";"Assez bien";"La plupart d'entre elles";"Assez poli";"Très compétent";"Très claires";"Assez utile";"Ni supérieure, ni inférieure";
4906;"164";"Ni satisfait, ni insatisfait";"Pas très bien";"Ni rapidement, ni lentement";"Assez longue";"Assez bien";"Environ la moitié";"Assez poli";"Peu compétent";"Très claires";"Très utile";"Assez supérieure";
4907;"164";"Très satisfait";"Extrêmement bien";"Extrêmement rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Extrêmement poli";"Extrêmement compétent";"Extrêmement claires";"Très utile";"Très supérieure";
4908;"031";"Assez insatisfait";"Assez bien";"Assez lentement";"Très longue";"Pas du tout bien";"Quelques-unes";"Peu poli";"Peu compétent";"Pas du tout claires";"Assez utile";"Assez inférieure";
4909;"154";"Assez satisfait";"Assez bien";"Assez rapidement";"Peu longue";"Assez bien";"Toutes";"Assez poli";"Très compétent";"Assez claires";"Très utile";"Très supérieure";
4910;"154";"Ni satisfait, ni insatisfait";"Pas très bien";"Assez lentement";"Assez longue";"Très bien";"Environ la moitié";"Très poli";"Peu compétent";"Très claires";"Assez utile";"Ni supérieure, ni inférieure";
4911;"252";"Très satisfait";"Très bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Très claires";"Extrêmement utile";"Très supérieure";
4912;"154";"Extrêmement insatisfait";"Pas très bien";"Extrêmement lentement";"Extrêmement longue";"Pas du tout bien";"Quelques-unes";"Peu poli";"Peu compétent";"Pas du tout claires";"Pas du tout utile";"Très inférieure";
4913;"031";"Très satisfait";"Très bien";"Extrêmement rapidement";"Pas du tout longue";"Très bien";"La plupart d'entre elles";"Extrêmement poli";"Extrêmement compétent";"Extrêmement claires";"Extrêmement utile";"Très supérieure";
4914;"031";"Extrêmement satisfait";"Extrêmement bien";"Très rapidement";"Peu longue";"Très bien";"La plupart d'entre elles";"Très poli";"Très compétent";"Très claires";"Très utile";"Extrêmement supérieure";
4915;"154";"Assez satisfait";"Assez bien";"Ni rapidement, ni lentement";"Pas du tout longue";"Très bien";"Toutes";"Très poli";"Extrêmement compétent";"Très claires";"Extrêmement utile";"Ni supérieure, ni inférieure";
4916;"164";"Très satisfait";"Extrêmement bien";"Très rapidement";"Peu longue";"Très bien";"Toutes";"Extrêmement poli";"Extrêmement compétent";"Extrêmement claires";"Très utile";"Très supérieure";
4917;"154";"Très insatisfait";"Assez bien";"Très lentement";"Très longue";"Pas très bien";"Aucune";"Pas du tout poli";"Assez compétent";"Peu claires";"Assez utile";"Très inférieure";
4918;"164";"Ni satisfait, ni insatisfait";"Assez bien";"Assez lentement";"Assez longue";"Très bien";"Environ la moitié";"Assez poli";"Assez compétent";"Très claires";"Assez utile";"Ni supérieure, ni inférieure";
4919;"031";"Assez satisfait";"Très bien";"Assez rapidement";"Peu longue";"Très bien";"Environ la moitié";"Extrêmement poli";"Très compétent";"Assez claires";"Assez utile";"Assez supérieure";
4920;"031";"Très insatisfait";"Pas très bien";"Assez lentement";"Extrêmement longue";"Pas très bien";"Quelques-unes";"Peu poli";"Peu compétent";"Pas du tout claires";"Peu utile";"Assez inférieure";
4921;"164";"Assez satisfait";"Extrêmement bien";"Ni rapidement, ni lentement";"Peu longue";"Extrêmement bien";"La plupart d'entre elles";"Très poli";"Assez compétent";"Assez claires";"Très utile";"Très supérieure";
4922;"031";"Ni satisfait, ni insatisfait";"Assez bien";"Assez rapidement";"Assez longue";"Assez bien";"Quelques-unes";"Très poli";"Très compétent";"Très claires";"Assez utile";"Assez inférieure";
4923;"154";"Extrêmement insatisfait";"Pas très bien";"Extrêmement lentement";"Très longue";"Pas très bien";"Aucune";"Peu poli";"Peu compétent";"Peu claires";"Peu utile";"Extrêmement inférieure";
4924;"252";"Très satisfait";"Extrêmement bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Extrêmement poli";"Très compétent";"Très claires";"Très utile";"Très supérieure";
4925;"154";"Assez satisfait";"Assez bien";"Assez rapidement";"Assez longue";"Très bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Assez claires";"Assez utile";"Assez supérieure";
4926;"252";"Assez satisfait";"Assez bien";"Assez rapidement";"Peu longue";"Assez bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Assez claires";"Très utile";"Très supérieure";
4927;"164";"Très satisfait";"Très bien";"Extrêmement rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Très poli";"Très compétent";"Très claires";"Extrêmement utile";"Très supérieure";
4928;"031";"Assez satisfait";"Très bien";"Ni rapidement, ni lentement";"Peu longue";"Extrêmement bien";"Environ la moitié";"Extrêmement poli";"Assez compétent";"Extrêmement claires";"Assez utile";"Assez supérieure";
4929;"252";"Ni satisfait, ni insatisfait";"Pas très bien";"Ni rapidement, ni lentement";"Assez longue";"Pas très bien";"Quelques-unes";"Assez poli";"Assez compétent";"Assez claires";"Assez utile";"Ni supérieure, ni inférieure";
4930;"154";"Ni satisfait, ni insatisfait";"Très bien";"Assez lentement";"Assez longue";"Assez bien";"Environ la moitié";"Assez poli";"Très compétent";"Assez claires";"Peu utile";"Ni supérieure, ni inférieure";
4931;"252";"Très insatisfait";"Assez bien";"Très lentement";"Très longue";"Pas très bien";"Environ la moitié";"Pas du tout poli";"Assez compétent";"Peu claires";"Pas du tout utile";"Très inférieure";
4932;"252";"Très satisfait";"Très bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Très poli";"Extrêmement compétent";"Très claires";"Très utile";"Très supérieure";
4933;"031";"Assez satisfait";"Assez bien";"Assez rapidement";"Peu longue";"Très bien";"Toutes";"Très poli";"Très compétent";"Très claires";"Assez utile";"Très supérieure";
4934;"154";"Extrêmement satisfait";"Très bien";"Très rapidement";"Pas du tout longue";"Très bien";"Toutes";"Extrêmement poli";"Très compétent";"Extrêmement claires";"Extrêmement utile";"Extrêmement supérieure";
4935;"252";"Ni satisfait, ni insatisfait";"Assez bien";"Assez lentement";"Très longue";"Assez bien";"La plupart d'entre elles";"Très poli";"Assez compétent";"Assez claires";"Peu utile";"Assez supérieure";
4936;"252";"Très satisfait";"Extrêmement bien";"Extrêmement rapidement";"Peu longue";"Très bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Très claires";"Extrêmement utile";"Très supérieure";
4937;"031";"Très satisfait";"Très bien";"Assez rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Extrêmement poli";"Extrêmement compétent";"Très claires";"Très utile";"Très supérieure";
4938;"031";"Très satisfait";"Extrêmement bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Extrêmement poli";"Très compétent";"Très claires";"Extrêmement utile";"Assez supérieure";
4939;"252";"Extrêmement satisfait";"Très bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Très poli";"Très compétent";"Extrêmement claires";"Très utile";"Extrêmement supérieure";
4940;"031";"Ni satisfait, ni insatisfait";"Pas très bien";"Assez lentement";"Très longue";"Pas très bien";"Environ la moitié";"Très poli";"Assez compétent";"Assez claires";"Assez utile";"Assez inférieure";
4941;"164";"Très satisfait";"Extrêmement bien";"Extrêmement rapidement";"Pas du tout longue";"Extrêmement bien";"La plupart d'entre elles";"Extrêmement poli";"Extrêmement compétent";"Extrêmement claires";"Extrêmement utile";"Extrêmement supérieure";
4942;"031";"Assez satisfait";"Extrêmement bien";"Très rapidement";"Pas du tout longue";"Très bien";"La plupart d'entre elles";"Extrêmement poli";"Très compétent";"Extrêmement claires";"Très utile";"Assez supérieure";
4943;"154";"Très satisfait";"Extrêmement bien";"Assez rapidement";"Pas du tout longue";"Très bien";"La plupart d'entre elles";"Extrêmement poli";"Extrêmement compétent";"Très claires";"Extrêmement utile";"Extrêmement supérieure";
4944;"164";"Assez satisfait";"Extrêmement bien";"Ni rapidement, ni lentement";"Peu longue";"Très bien";"La plupart d'entre elles";"Assez poli";"Très compétent";"Assez claires";"Extrêmement utile";"Ni supérieure, ni inférieure";
4945;"154";"Très satisfait";"Extrêmement bien";"Très rapidement";"Pas du tout longue";"Très bien";"Toutes";"Extrêmement poli";"Extrêmement compétent";"Très claires";"Très utile";"Extrêmement supérieure";
4946;"154";"Assez satisfait";"Extrêmement bien";"Assez rapidement";"Pas du tout longue";"Extrêmement bien";"Environ la moitié";"Extrêmement poli";"Extrêmement compétent";"Très claires";"Très utile";"Assez supérieure";
4947;"031";"Extrêmement satisfait";"Extrêmement bien";"Très rapidement";"Pas du tout longue";"Très bien";"Toutes";"Extrêmement poli";"Extrêmement compétent";"Très claires";"Très utile";"Très supérieure";
4948;"252";"Extrêmement satisfait";"Très bien";"Extrêmement rapidement";"Pas du tout longue";"Très bien";"La plupart d'entre elles";"Extrêmement poli";"Très compétent";"Extrêmement claires";"Extrêmement utile";"Très supérieure";
4949;"154";"Extrêmement satisfait";"Très bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"La plupart d'entre elles";"Très poli";"Très compétent";"Extrêmement claires";"Très utile";"Extrêmement supérieure";
4950;"164";"Extrêmement satisfait";"Extrêmement bien";"Extrêmement rapidement";"Peu longue";"Extrêmement bien";"Toutes";"Extrêmement poli";"Extrêmement compétent";"Très claires";"Très utile";"Extrêmement supérieure";
4951;"164";"Très satisfait";"Extrêmement bien";"Très rapidement";"Peu longue";"Très bien";"La plupart d'entre elles";"Très poli";"Très compétent";"Extrêmement claires";"Très utile";"Extrêmement supérieure";
4952;"031";"Très satisfait";"Extrêmement bien";"Assez rapidement";"Peu longue";"Extrêmement bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Très claires";"Extrêmement utile";"Extrêmement supérieure";
4953;"252";"Très satisfait";"Extrêmement bien";"Très rapidement";"Peu longue";"Extrêmement bien";"Toutes";"Extrêmement poli";"Extrêmement compétent";"Extrêmement claires";"Extrêmement utile";"Très supérieure";
4954;"164";"Ni satisfait, ni insatisfait";"Pas très bien";"Ni rapidement, ni lentement";"Assez longue";"Assez bien";"Environ la moitié";"Très poli";"Assez compétent";"Assez claires";"Peu utile";"Assez inférieure";
4955;"164";"Assez satisfait";"Extrêmement bien";"Assez rapidement";"Peu longue";"Assez bien";"La plupart d'entre elles";"Très poli";"Très compétent";"Assez claires";"Extrêmement utile";"Assez supérieure";
4956;"252";"Extrêmement satisfait";"Très bien";"Extrêmement rapidement";"Peu longue";"Extrêmement bien";"Toutes";"Très poli";"Très compétent";"Très claires";"Très utile";"Extrêmement supérieure";
4957;"164";"Extrêmement insatisfait";"Pas du tout bien";"Extrêmement lentement";"Extrêmement longue";"Pas du tout bien";"Aucune";"Peu poli";"Pas du tout compétent";"Peu claires";"Pas du tout utile";"Extrêmement inférieure";
4958;"252";"Ni satisfait, ni insatisfait";"Assez bien";"Assez lentement";"Peu longue";"Très bien";"Environ la moitié";"Peu poli";"Assez compétent";"Peu claires";"Assez utile";"Assez inférieure";
4959;"164";"Extrêmement satisfait";"Très bien";"Extrêmement rapidement";"Pas du tout longue";"Très bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Extrêmement claires";"Très utile";"Extrêmement supérieure";
4960;"031";"Assez satisfait";"Très bien";"Assez rapidement";"Pas du tout longue";"Extrêmement bien";"La plupart d'entre elles";"Assez poli";"Très compétent";"Très claires";"Très utile";"Très supérieure";
